MIC_E3	MIC_E3	MIC_E3	MIC_E3	MIC_E4	MIC_E4	MIC_E4	MIC_E4
PCMT1	2094	1689	1879	1644	2147	1813	1612	1398
LRP11	596	756	754	555	308	331	459	302
LOC100652739	0	2	0	0	1	0	0	0
RAET1E	0	0	0	1	1	0	0	0
RAET1G	10	9	3	7	6	0	0	0
ULBP2	40	25	34	23	53	12	9	11
ULBP1	61	45	70	22	36	25	9	4
RAET1K	0	0	1	0	0	0	0	0
RAET1L	0	0	2	0	0	0	0	0
ULBP3	9	18	16	13	3	3	1	0
PPP1R14C	5	28	126	35	57	19	10	4
IYD	0	0	0	0	0	0	0	0
PLEKHG1	183	364	572	47	52	29	5	0
MTHFD1L	1522	1789	1813	1268	1477	1112	981	740
AKAP12	1204	2852	3374	989	1615	780	111	146
ZBTB2	415	534	464	475	317	442	482	512
RMND1	361	326	387	466	289	332	280	323
C6orf211	1237	959	986	1079	919	938	883	863
CCDC170	293	251	236	240	96	184	234	357
ESR1	3	0	3	0	1	0	3	0
SYNE1	5818	2811	3095	5180	1252	3561	3007	2794
MYCT1	1	0	1	0	0	0	0	0
VIP	0	0	0	0	0	0	0	0
FBXO5	460	340	369	417	252	150	121	108
MTRF1L	226	164	223	183	122	223	180	196
RGS17	15	22	32	2	9	0	0	0
OPRM1	0	0	0	0	0	1	0	0
IPCEF1	454	511	693	569	302	1403	899	1250
CNKSR3	77	101	132	103	64	21	12	14
SCAF8	1963	1773	2076	1867	956	1816	1844	1906
TIAM2	33	41	43	51	11	9	5	8
TFB1M	284	173	198	260	245	236	203	217
CLDN20	0	0	0	0	0	0	0	0
NOX3	0	0	1	0	0	0	0	0
ARID1B	2458	2129	2375	2386	896	2059	2438	2650
MIR4466	0	0	0	0	0	0	0	0
TMEM242	435	434	458	339	429	454	411	447
ZDHHC14	160	217	213	106	181	125	260	229
MIR3692	0	0	0	0	0	0	0	0
SNX9	5607	3099	3124	3761	2670	4241	4341	4593
SYNJ2	508	667	621	512	274	282	194	200
SYNJ2-IT1	0	0	0	0	0	0	0	0
SERAC1	549	324	487	573	356	515	615	537
GTF2H5	641	622	780	573	820	753	477	500
TULP4	1436	1245	1471	1788	509	1557	1702	2083
TMEM181	1354	1350	1236	1305	630	1015	1230	1271
DYNLT1	1015	908	946	750	1207	902	778	867
SYTL3	76	37	40	63	48	82	75	165
MIR3918	0	0	0	0	0	0	0	0
EZR	5628	3139	3795	4048	3897	4325	4399	4699
OSTCP1	0	1	1	0	0	0	1	0
C6orf99	0	0	2	1	4	0	0	0
RSPH3	370	257	269	427	109	235	359	553
TAGAP	476	301	439	630	279	560	601	1210
FNDC1	273	853	696	349	131	39	3	19
SOD2	63270	15705	19772	48561	21540	45580	30943	33656
WTAP	3471	2104	2223	3019	2286	2460	2261	2304
LOC100129518	3	12	16	8	13	1	12	16
ACAT2	1292	1273	1788	916	1382	1862	1785	1259
TCP1	5660	4513	5097	4634	4970	4717	4195	4134
SNORA20	0	0	2	0	0	0	0	0
SNORA29	0	2	0	1	3	0	0	0
MRPL18	1264	988	1141	1225	1183	1041	1084	1148
PNLDC1	1	0	0	3	2	0	1	0
MAS1	0	0	0	1	0	3	0	0
IGF2R	20208	13144	14567	18128	6143	16519	14796	17189
AIRN	0	0	0	0	0	0	0	0
LOC729603	61	45	51	68	15	45	72	57
SLC22A1	29	16	15	44	24	8	21	15
SLC22A2	2	4	7	12	2	1	0	0
SLC22A3	334	816	599	842	272	61	22	0
LPAL2	1	2	2	1	5	0	1	0
LPA	0	0	3	0	0	0	0	0
PLG	0	0	0	0	0	0	0	0
MAP3K4	912	688	753	1134	425	691	835	1087
AGPAT4	593	616	600	546	430	558	690	745
AGPAT4-IT1	21	10	8	23	0	15	20	61
PARK2	64	50	53	25	52	58	47	73
PACRG	2	17	17	4	15	3	1	6
PACRG-AS1	0	0	0	0	0	0	0	0
DKFZp451B082	8	5	11	2	1	2	1	5
CAHM	5	14	21	16	4	3	6	10
QKI	14261	9485	12652	14123	7112	16583	14815	16824
C6orf118	5	11	38	0	0	1	0	0
PDE10A	102	275	221	77	29	66	9	0
LINC00473	9	5	10	2	2	1	1	0
LINC00602	0	0	0	0	0	1	0	0
T	0	0	0	0	0	0	0	0
PRR18	0	5	3	2	0	0	0	0
SFT2D1	1288	884	974	1155	1363	1211	1333	1482
LOC100289495	15	30	21	15	9	29	25	23
MPC1	662	571	665	716	848	942	983	836
RPS6KA2	1260	1183	1008	734	526	674	761	836
RPS6KA2-IT1	3	2	1	0	1	0	0	3
MIR1913	0	0	0	0	0	0	0	0
RNASET2	2603	2278	2008	1503	4045	2078	2484	3070
MIR3939	0	0	2	2	0	0	0	0
FGFR1OP	288	221	267	302	197	183	168	233
CCR6	0	1	1	0	1	0	0	0
GPR31	9	1	8	6	5	0	3	0
TCP10L2	0	0	0	0	0	0	0	0
UNC93A	1	0	0	0	0	0	0	0
TTLL2	0	0	0	0	0	0	0	0
TCP10	0	0	0	0	0	0	0	0
C6orf123	0	0	0	0	0	0	0	0
MLLT4-AS1	0	2	5	1	1	1	0	0
MLLT4	2594	1843	2056	2333	730	1570	2128	1998
HGC6.3	0	0	1	0	0	0	0	0
KIF25	0	0	0	0	0	0	0	0
FRMD1	0	0	0	0	0	0	0	0
DACT2	13	29	57	6	3	1	2	0
SMOC2	311	1158	714	719	397	159	30	0
THBS2	5135	5989	4631	3387	2866	1411	106	4
WDR27	62	81	97	58	17	23	50	49
C6orf120	1656	1637	1603	1556	1053	1573	1546	1427
PHF10	563	533	579	538	392	450	503	524
TCTE3	3	3	4	3	0	4	2	3
C6orf70	445	355	345	373	442	396	327	346
LINC00242	4	7	17	8	0	2	0	1
LINC00574	0	2	3	0	2	1	0	0
LOC154449	0	1	0	0	0	0	0	0
DLL1	235	132	255	191	123	92	219	324
FAM120B	1096	849	953	1268	458	962	978	1209
MIR4644	0	0	0	0	0	0	0	0
PSMB1	2759	2644	2811	2800	3939	2800	2378	2545
TBP	531	418	468	600	338	409	458	461
PDCD2	1092	934	1100	1059	1154	950	890	897
HLA-DRB3	0	0	0	0	0	0	0	0
HLA-DRB4	0	0	0	0	0	0	0	0
FAM20C	3209	2017	1974	2315	2890	2415	4296	4388
LOC100288524	0	0	0	0	0	0	0	0
LOC442497	4	0	3	2	0	1	3	4
PDGFA	247	403	346	371	199	224	208	92
FLJ44511	3	3	1	4	0	0	1	0
PRKAR1B	184	279	235	155	173	84	76	71
HEATR2	943	987	906	873	577	735	736	836
SUN1	1168	1323	1262	1345	662	831	929	802
GET4	973	852	894	877	1142	742	870	816
ADAP1	1452	759	690	1132	869	931	1150	1612
COX19	485	423	416	426	387	330	363	348
CYP2W1	16	181	123	107	15	11	0	0
C7orf50	1150	1249	1244	965	2105	1191	1290	1358
MIR339	1	0	1	0	0	1	1	0
GPR146	41	30	34	59	83	49	83	102
GPER	64	314	214	162	86	13	2	1
ZFAND2A	290	332	306	264	447	342	309	291
UNCX	0	1	20	0	0	0	0	0
MICALL2	225	199	163	156	142	71	108	122
INTS1	3301	3169	3213	3010	2431	2112	2497	2600
MAFK	835	409	415	529	619	644	866	807
TMEM184A	4	12	12	2	0	1	0	1
PSMG3	181	217	215	156	260	133	147	168
PSMG3-AS1	115	132	100	87	61	68	134	158
TFAMP1	0	0	0	0	0	0	0	0
ELFN1	87	89	145	73	85	29	19	4
MAD1L1	1411	1018	1163	1227	1584	1381	1740	1625
MIR4655	0	0	0	0	0	0	0	0
FTSJ2	1032	929	987	903	1099	1077	1030	918
NUDT1	367	273	284	313	462	229	242	198
SNX8	3202	2363	2451	2321	2876	3008	3379	3399
EIF3B	4368	4381	4287	3986	3945	3587	3246	3262
CHST12	396	547	456	447	374	312	302	370
LFNG	902	397	403	478	491	286	334	392
MIR4648	1	2	0	0	0	0	0	0
BRAT1	1423	1297	1163	1125	1599	867	1130	1251
IQCE	1242	891	933	901	542	710	911	1130
TTYH3	31549	22488	23687	22561	16546	27279	33082	40563
AMZ1	87	2	4	62	10	39	34	53
GNA12	6178	4558	4778	5122	3067	5176	5229	5587
CARD11	15	16	20	70	42	80	58	145
SDK1	112	400	463	188	112	128	4	1
FOXK1	2340	2424	2644	2393	953	1971	2048	2156
AP5Z1	2039	1482	1432	1330	2050	1648	1738	1799
MIR4656	0	0	1	0	0	0	0	0
RADIL	6	47	25	3	11	0	0	0
PAPOLB	0	0	1	0	0	0	0	0
MMD2	0	0	0	0	0	0	0	0
RNF216P1	591	595	587	508	404	432	453	430
RBAK	560	522	582	612	284	592	593	604
RBAK-LOC389458	0	1	0	0	0	0	5	4
LOC389458	0	1	0	0	0	0	1	0
ZNF890P	1	3	1	1	0	0	3	5
WIPI2	4324	3349	3461	3941	3308	3746	3481	3982
SLC29A4	84	205	234	112	73	39	67	51
TNRC18	4889	4078	4295	3893	1948	3414	4074	4673
FBXL18	775	727	710	785	338	494	599	638
MIR589	3	0	1	5	2	0	0	4
ACTB	697357	450705	489324	766724	561046	535511	588627	592627
FSCN1	17620	18861	16950	16459	14376	9271	12417	7836
RNF216	2176	1953	2157	1940	1315	1957	2198	2156
RNF216-IT1	2	1	0	0	0	1	0	0
ZNF815P	64	62	72	69	79	54	68	76
OCM	0	0	0	1	0	0	0	0
CCZ1	204	171	169	167	95	137	118	90
RSPH10B2	0	0	0	0	0	0	0	0
RSPH10B	0	0	0	0	0	0	0	0
PMS2	328	303	308	311	97	227	265	324
AIMP2	789	947	976	911	1098	766	742	678
EIF2AK1	3248	3526	3636	3574	1850	2500	2641	2781
ANKRD61	3	3	3	2	0	2	0	5
USP42	610	607	661	537	270	536	435	536
CYTH3	930	990	1173	1107	769	1180	1230	1248
FAM220A	628	547	633	655	545	520	514	578
RAC1	15390	10964	12470	13968	15166	15086	12151	13122
DAGLB	2190	1433	1479	1766	1488	1852	1943	2164
KDELR2	5555	10654	9156	7917	5419	4077	3387	3255
GRID2IP	3	2	0	4	2	8	1	6
ZDHHC4	1269	1083	1094	1057	1322	1116	1003	1020
C7orf26	744	655	606	716	706	614	627	705
ZNF853	95	261	319	90	132	37	7	2
ZNF12	516	611	676	593	293	522	573	512
PMS2CL	76	86	83	107	35	57	97	82
CCZ1B	300	198	250	231	203	188	153	254
LOC100131257	0	0	0	0	0	0	0	0
C1GALT1	1091	828	988	1077	697	1055	926	924
COL28A1	0	0	1	1	0	2	0	0
MIOS	1361	788	903	1118	811	1214	1136	1244
RPA3	347	270	310	310	440	210	172	153
LOC729852	622	447	538	591	404	625	642	610
GLCCI1	394	351	455	469	247	525	595	645
ICA1	386	195	285	203	327	376	432	415
NXPH1	0	3	9	0	0	0	0	0
PER4	0	0	0	0	0	0	0	0
NDUFA4	3248	3493	3995	3412	5328	4424	2989	3019
PHF14	1056	956	1118	822	698	792	803	735
THSD7A	76	276	406	150	34	38	4	0
TMEM106B	1549	1507	1820	1932	742	1800	1575	1680
VWDE	4	3	2	0	0	0	0	0
SCIN	54	28	25	185	51	124	240	105
ARL4A	263	562	697	324	225	189	122	113
ETV1	224	271	349	210	169	153	76	177
DGKB	6	18	45	7	2	8	0	0
AGMO	16	10	13	11	5	2	0	0
MEOX2	30	61	33	89	30	3	0	0
ISPD	18	26	46	26	20	19	14	20
LOC100506025	0	0	0	0	0	0	0	0
SOSTDC1	1	18	7	3	1	0	0	0
LRRC72	0	0	0	0	0	0	0	0
ANKMY2	549	647	675	493	484	469	458	413
BZW2	742	1046	1022	952	591	588	506	431
TSPAN13	368	1321	796	463	232	207	275	249
AGR2	1	8	9	7	6	7	61	35
AGR3	0	0	0	0	0	0	0	0
AHR	4874	4658	5373	5378	2396	5944	4543	5134
SNX13	1864	1540	1775	1779	883	2139	1946	2318
PRPS1L1	0	0	0	0	0	0	0	1
HDAC9	455	384	414	791	185	465	387	431
TWIST1	153	309	287	201	150	23	15	0
FERD3L	0	0	0	0	0	0	0	0
TWISTNB	657	534	607	550	430	640	589	564
MIR3146	0	0	0	0	0	0	0	0
TMEM196	0	1	9	0	0	0	0	0
MACC1	866	103	144	840	65	171	53	142
MACC1-AS1	0	0	0	0	0	0	0	0
ITGB8	532	265	1034	401	99	216	66	22
ABCB5	57	5	6	24	36	27	20	32
SP8	2	0	7	0	5	0	0	0
RPL23P8	2	4	3	3	4	0	2	7
SP4	148	140	188	161	69	228	156	221
DNAH11	4	1	3	3	2	4	0	0
CDCA7L	623	579	580	601	380	207	223	146
RAPGEF5	0	9	15	2	2	2	0	0
STEAP1B	19	11	7	6	9	7	2	7
LOC100506178	3	3	1	0	0	0	0	0
IL6	69	16	6	13	23	1	4	6
TOMM7	1684	1559	1581	1459	2440	1677	1379	1595
SNORD93	1	0	0	2	2	0	3	1
FAM126A	1168	859	929	1271	496	752	821	650
KLHL7-AS1	38	15	34	25	9	35	42	29
KLHL7	950	706	879	747	734	896	785	767
NUPL2	459	377	350	495	320	401	458	409
GPNMB	134426	57713	86204	142209	95591	251281	305406	260730
MALSU1	364	391	396	371	465	315	232	291
IGF2BP3	3110	2217	2760	3268	1308	3432	3552	3253
RPS2P32	63	32	46	38	54	33	37	39
TRA2A	1354	882	1070	1338	1066	1167	1109	1282
CLK2P	3	0	1	3	2	0	3	1
CCDC126	295	235	224	236	162	279	238	251
FAM221A	73	21	52	32	32	33	18	25
STK31	0	0	1	0	5	0	0	0
NPY	11	22	25	39	0	4	1	2
MPP6	61	165	184	110	21	11	7	1
DFNA5	3209	709	1120	2375	1603	2520	2713	2337
OSBPL3	1966	1067	1291	1604	762	1372	1957	1631
CYCS	1520	1298	1732	1501	1675	1464	1231	1062
C7orf31	224	134	192	262	124	214	252	291
NPVF	0	0	0	0	0	0	0	0
RNU6-16	0	0	0	0	0	0	0	0
MIR148A	0	0	0	0	0	0	0	0
NFE2L3	652	247	282	539	364	403	270	269
HNRNPA2B1	15235	10823	12959	15100	9312	10333	10984	11982
CBX3	3227	3149	3378	3257	2411	2472	1974	1819
SNX10	1215	320	435	1013	452	796	439	438
LOC441204	2	4	4	0	0	3	0	0
KIAA0087	0	0	0	0	0	0	0	0
C7orf71	0	0	0	0	0	0	0	0
SKAP2	4586	2494	3261	4664	2138	4926	4890	4243
HOXA1	5	9	15	9	7	1	0	0
HOTAIRM1	40	60	62	41	74	30	16	17
HOXA2	7	36	56	21	7	0	0	0
HOXA3	30	52	142	18	9	2	0	0
HOXA4	2	25	105	13	7	0	0	0
HOXA-AS3	0	0	7	2	0	0	0	0
HOXA5	7	17	71	10	0	0	2	0
HOXA6	1	1	3	4	0	0	1	0
HOXA7	4	22	20	22	0	0	0	0
HOXA10-HOXA9	0	0	0	0	0	0	0	0
HOXA9	4	11	11	5	0	0	0	0
HOXA-AS4	5	17	11	5	0	0	0	0
MIR196B	0	0	0	0	0	0	0	0
HOXA10	49	215	168	95	7	7	7	1
HOXA11	20	177	98	19	2	3	1	0
HOXA11-AS	8	37	25	5	0	0	0	0
HOXA13	3	69	50	1	4	1	0	0
HOTTIP	0	1	4	0	0	0	0	0
EVX1	0	0	0	0	0	0	0	0
HIBADH	1229	1201	1126	1201	1112	1181	1245	1354
TAX1BP1	4282	2990	3580	3948	2672	4224	3851	4217
JAZF1	367	515	648	551	267	267	296	223
JAZF1-AS1	0	0	3	0	0	0	2	0
CREB5	344	293	356	401	148	278	233	160
TRIL	113	221	280	394	57	18	6	0
LOC100506497	0	0	0	1	0	0	0	0
CPVL	6395	5094	5272	4688	8052	7753	7412	8033
CHN2	484	464	582	661	312	597	679	881
PRR15	15	10	6	24	22	0	1	0
LOC646762	124	253	277	297	83	86	71	101
MIR550A3	0	0	0	0	0	0	0	0
ZNRF2P2	3	8	5	1	0	8	3	0
DPY19L2P3	4	6	6	1	6	3	2	0
WIPF3	14	38	61	85	8	11	19	6
SCRN1	2778	3019	3621	2707	1279	1612	512	582
FKBP14	579	1607	1365	959	443	294	188	193
PLEKHA8	463	420	528	473	204	430	370	349
C7orf41	787	749	933	695	621	723	841	854
ZNRF2	1285	946	1182	1275	1075	1859	1437	1501
MIR550A1	0	0	0	0	0	0	0	0
MIR550B1	0	0	0	0	0	0	0	0
DKFZP586I1420	332	235	294	270	284	475	319	333
NOD1	607	456	397	667	343	407	509	577
GGCT	1202	880	964	1194	1202	918	842	713
LOC401320	143	144	95	172	94	105	173	160
GARS	4606	7093	6515	3967	3579	2858	2354	2216
CRHR2	2	0	2	0	0	0	0	0
INMT	6	7	3	8	3	5	0	0
INMT-FAM188B	0	0	0	0	0	0	0	0
FAM188B	1	5	4	1	0	1	2	1
AQP1	332	488	595	1648	679	482	114	1
GHRHR	0	0	0	0	0	0	0	0
ADCYAP1R1	10	47	157	6	14	2	0	0
NEUROD6	2	1	17	0	6	0	0	0
CCDC129	0	0	0	0	0	0	0	0
PPP1R17	12	4	13	0	0	0	0	0
PDE1C	39	87	186	13	16	44	0	0
LOC100130673	0	0	0	0	0	0	0	0
LSM5	925	722	857	752	903	783	431	410
AVL9	618	487	569	700	228	621	608	677
DPY19L1P1	5	8	8	1	1	7	3	5
ZNRF2P1	22	18	14	7	7	13	5	8
MIR550A2	0	0	0	0	0	0	0	0
MIR550B2	0	0	0	0	0	0	0	0
LOC401321	90	81	118	90	58	47	70	70
KBTBD2	1786	1321	1412	1385	1024	1388	1271	1302
RP9P	104	120	102	116	118	59	60	76
FKBP9	2282	3045	2711	2614	1285	1337	1174	1289
NT5C3	315	317	311	249	302	348	259	228
RP9	186	176	198	141	176	161	152	146
BBS9	429	406	376	392	165	338	294	276
BMPER	499	996	957	1323	142	86	39	6
NPSR1-AS1	1	2	0	0	0	0	0	0
NPSR1	0	0	0	0	0	0	1	0
DPY19L1	1402	1315	1566	1496	572	909	869	893
DPY19L2P1	0	0	2	4	0	0	0	0
TBX20	16	73	50	42	0	8	1	2
LOC401324	0	0	0	0	0	0	0	0
HERPUD2	1341	938	937	1107	722	1283	1211	1344
SEPT7	5840	4977	5484	5847	3380	5234	4394	4178
EEPD1	1073	930	905	951	809	1402	1702	2228
KIAA0895	27	70	68	36	22	17	3	0
ANLN	2218	1018	1122	2061	404	153	198	184
AOAH	3294	2332	2642	3341	2963	3223	2577	3444
AOAH-IT1	1	0	0	1	3	0	0	3
ELMO1	1788	1295	1558	1501	1188	2187	2487	2887
MIR1200	0	0	0	0	0	0	0	0
GPR141	562	307	330	511	240	387	358	442
NME8	21	5	7	44	14	28	32	38
SFRP4	334	1027	1135	390	548	15	3	13
EPDR1	219	200	219	149	292	127	191	211
STARD3NL	1471	1063	1271	1211	1429	1631	1336	1454
TARP	0	0	0	0	0	0	0	0
LOC100506776	51	58	47	32	56	76	78	67
AMPH	25	99	198	17	33	18	0	0
FAM183B	0	1	0	0	1	0	0	0
VPS41	3135	2216	2559	2609	1748	2924	2489	2813
POU6F2	0	2	1	4	0	0	0	0
POU6F2-AS1	0	0	0	0	0	0	0	0
YAE1D1	139	194	230	176	142	174	122	142
LOC646999	1	5	2	2	5	5	0	4
RALA	1506	1048	1316	1319	1351	1830	1328	1617
LINC00265	38	49	36	71	23	40	46	68
CDK13	1647	1309	1537	1676	685	1457	1422	1867
MPLKIP	316	287	326	299	439	315	241	258
C7orf10	13	21	23	12	31	4	5	1
INHBA	76	26	59	100	22	8	8	24
INHBA-AS1	0	0	2	0	1	0	1	0
GLI3	599	1357	1403	1091	246	136	28	13
C7orf25	476	321	360	390	254	380	342	401
PSMA2	1995	1835	1940	1602	2518	2056	1407	1332
MRPL32	417	403	427	559	469	456	372	407
HECW1	21	30	72	6	18	11	0	0
MIR3943	0	0	0	0	0	0	0	0
LOC100506895	0	0	0	0	0	0	0	0
STK17A	476	328	451	372	438	474	362	324
COA1	611	504	603	606	571	468	450	547
BLVRA	3507	2264	2475	2480	4378	3041	2393	2256
MRPS24	24	21	21	38	19	12	22	38
URGCP-MRPS24	0	0	0	2	0	0	2	0
URGCP	778	696	586	633	513	531	636	760
UBE2D4	757	590	669	681	615	752	786	904
POLR2J4	80	77	65	74	44	69	88	92
SPDYE1	0	0	0	0	0	0	0	0
RASA4CP	31	18	24	14	26	21	25	29
FLJ35390	60	16	22	35	25	35	34	38
DBNL	5898	4080	4024	4941	4247	4043	4757	5575
PGAM2	0	0	0	1	0	0	0	0
POLM	197	186	162	178	161	122	195	226
AEBP1	2415	7310	5798	2791	3489	1333	44	10
MIR4649	0	0	0	0	0	0	0	0
POLD2	995	1671	1477	1121	1136	661	717	667
MYL7	3	0	4	2	1	2	0	0
GCK	0	1	12	0	0	0	0	0
YKT6	3471	3397	3464	3019	3173	2609	2627	2413
CAMK2B	16	17	20	21	16	20	7	6
NUDCD3	1958	1860	1879	1723	1569	1616	1599	1731
NPC1L1	0	2	10	2	0	1	0	0
DDX56	1136	1049	1008	1074	1057	888	947	1003
TMED4	1240	975	1038	1228	806	1119	1166	1321
OGDH	8313	4957	5404	6847	3832	5877	6677	9952
ZMIZ2	2954	1900	2314	3104	1749	2821	4108	3626
PPIA	5637	5249	5516	5578	7013	5499	4724	4377
H2AFV	5952	4156	4574	4926	3709	3924	3363	3480
PURB	2495	1711	1959	2477	951	2266	1882	1833
MIR4657	0	0	0	0	0	0	0	0
MYO1G	374	82	117	338	49	78	118	440
SNHG15	116	117	126	98	157	89	68	75
SNORA9	2	4	0	6	1	2	2	1
CCM2	2012	1528	1427	1754	1842	1611	1856	2289
NACAD	34	91	148	37	27	16	1	0
TBRG4	1412	1058	1064	1261	1261	1079	1209	1188
SNORA5A	3	0	3	0	0	3	1	3
SNORA5C	3	2	0	3	0	0	2	0
SNORA5B	0	0	0	0	0	0	0	0
RAMP3	0	0	0	0	0	0	0	0
ADCY1	29	43	96	47	15	19	10	11
SEPT7P2	64	47	61	78	41	55	37	61
IGFBP1	1	0	2	4	1	0	0	0
IGFBP3	4680	7262	5155	8728	3080	670	127	5
TNS3	28842	15481	17173	21117	12142	21628	26973	26407
C7orf65	0	0	0	0	0	0	0	0
LINC00525	0	0	0	0	0	0	0	3
PKD1L1	3	1	5	3	3	1	1	14
C7orf69	0	0	1	0	0	2	0	0
HUS1	683	472	557	687	316	595	576	692
SUN3	3	0	2	2	0	4	0	2
C7orf57	1	1	9	0	0	0	0	1
UPP1	393	247	241	342	587	353	337	329
ABCA13	6	31	23	2	12	3	0	0
CDC14C	0	0	0	0	0	0	0	1
VWC2	1	3	6	0	0	0	0	0
ZPBP	0	0	0	0	0	0	0	0
C7orf72	0	0	0	0	0	0	0	1
IKZF1	3596	1858	2248	2978	1340	2690	3361	3090
FIGNL1	369	205	303	347	151	181	163	158
DDC	1	0	1	0	0	1	0	0
LOC100129427	0	0	0	0	0	0	0	0
GRB10	334	582	631	422	151	70	43	12
COBL	2	32	76	104	3	4	0	0
POM121L12	0	0	0	0	0	0	0	0
FLJ45974	0	0	0	0	0	0	0	0
HPVC1	0	0	0	0	0	0	0	0
VSTM2A	1	5	31	0	0	0	0	0
LOC285878	0	0	7	0	1	0	0	0
SEC61G	1853	2224	2109	2005	2750	2004	1271	1419
EGFR	153	321	432	117	34	77	14	41
EGFR-AS1	0	0	0	0	0	0	0	0
LANCL2	563	594	677	558	392	558	354	500
VOPP1	4185	1977	2215	2597	3361	3706	2625	2536
FKBP9L	39	47	52	30	14	15	5	9
SEPT14	0	0	0	0	0	0	0	0
ZNF713	27	36	46	50	8	11	23	24
MRPS17	306	307	305	276	316	310	248	233
GBAS	2949	2348	2697	3089	2419	3875	3691	3417
PSPH	640	589	751	602	676	673	587	441
CCT6A	5542	4705	5343	5033	4622	5173	4395	4264
SNORA15	0	0	0	0	0	2	1	2
SUMF2	5414	5206	4968	4774	5925	5750	5897	5571
PHKG1	13	3	0	4	3	24	0	4
CHCHD2	2	1	8	2	0	0	0	1
NUPR1L	0	0	0	0	0	0	0	0
LOC650226	0	0	0	0	0	0	0	0
DKFZp434L192	0	0	0	0	0	0	0	0
LOC100130849	0	0	0	0	0	0	0	0
MIR4283-1	0	0	0	0	0	0	0	0
MIR4283-2	0	0	0	0	0	0	0	0
ZNF479	0	0	0	0	0	0	0	0
GUSBP10	0	0	0	0	0	0	0	0
MIR3147	0	0	0	0	0	0	0	0
ZNF716	0	0	0	0	0	0	0	0
ZNF733P	0	0	0	0	0	0	0	0
LOC100287834	0	0	0	0	0	0	0	0
LOC100287704	0	0	0	0	0	0	0	0
LOC100506050	0	0	0	0	0	0	0	0
ZNF727	0	0	0	0	0	0	0	0
ZNF735	0	0	0	0	0	0	0	0
ZNF679	0	0	0	0	0	0	0	0
ZNF736	0	0	0	0	0	0	0	0
LOC649395	1	0	0	1	2	1	0	0
ZNF680	176	154	160	175	125	165	168	175
LOC641746	0	0	1	0	0	0	0	0
ZNF107	267	183	230	350	100	256	236	281
ZNF138	107	74	93	106	76	85	89	100
ZNF273	123	59	100	111	58	79	79	76
ZNF117	115	153	171	193	49	161	231	207
ERV3-1	261	238	269	324	165	297	268	428
CCT6P3	31	20	25	30	18	26	41	28
ZNF92	251	251	317	345	126	247	233	235
LOC441242	2	8	5	12	1	7	8	9
INTS4L2	1	1	2	3	0	0	0	0
CCT6P1	29	27	33	29	14	20	31	20
SNORA22	1	0	0	0	0	0	0	0
VKORC1L1	380	389	406	421	207	311	440	352
GUSB	4988	2734	2753	3012	3797	3483	3831	3897
ASL	568	474	471	526	585	587	576	538
CRCP	956	805	946	860	668	855	916	949
TPST1	267	626	440	391	134	63	118	71
LINC00174	22	38	33	37	30	22	73	65
LOC493754	275	297	270	247	193	203	201	172
KCTD7	657	522	562	790	434	778	1114	1365
RABGEF1	1024	799	951	884	576	911	843	832
GTF2IRD1P1	8	4	3	2	0	20	2	3
TMEM248	3935	3957	3955	3932	2690	3689	3573	3891
SBDS	1819	1563	1641	1642	1728	2128	1708	1801
TYW1	647	490	586	558	512	590	661	699
MIR4650-2	0	0	0	0	0	0	0	0
MIR4650-1	0	0	0	0	0	0	0	0
PMS2P4	23	47	47	40	24	22	29	14
STAG3L4	220	147	185	171	188	207	197	164
AUTS2	232	538	782	333	121	86	26	42
WBSCR17	102	327	400	51	45	39	2	0
MIR3914-1	0	0	0	0	0	0	0	0
MIR3914-2	0	0	0	0	0	0	0	0
CALN1	0	1	9	3	0	0	0	0
TYW1B	42	22	34	30	27	22	37	27
SBDSP1	433	481	449	430	375	432	382	413
SPDYE7P	0	0	0	0	0	0	0	0
POM121	1228	1220	1321	1319	527	1166	1179	1312
NSUN5P2	36	36	34	24	26	11	34	32
LOC541473	0	0	0	0	0	0	0	0
STAG3L3	23	12	23	22	21	24	25	26
PMS2L2	0	0	0	3	0	1	1	2
SPDYE8P	0	0	0	0	0	0	0	0
LOC100093631	0	0	0	0	0	0	0	0
GTF2IP1	0	0	0	0	0	0	0	0
NCF1B	1309	365	340	1767	662	409	591	1297
GTF2IRD2P1	0	0	0	1	1	0	0	1
NSUN5	614	419	424	517	687	413	469	507
TRIM50	91	54	49	57	60	52	56	72
FKBP6	2	0	1	0	5	0	0	0
FZD9	53	85	75	55	64	33	47	54
BAZ1B	4095	3125	3766	4145	1545	2640	3028	3167
BCL7B	1325	956	921	1039	1331	888	1021	1067
TBL2	901	1177	1162	696	750	648	606	597
MLXIPL	8	1	2	9	0	0	4	5
VPS37D	10	45	45	17	28	0	1	4
DNAJC30	425	478	383	487	421	287	314	436
WBSCR22	1131	1109	1156	964	1395	915	872	816
STX1A	99	171	139	103	52	34	40	19
MIR4284	0	0	0	0	0	0	0	0
LINC00035	1	6	0	6	5	2	8	7
ABHD11	421	348	333	506	439	316	411	586
CLDN3	0	2	3	0	0	0	0	0
CLDN4	18	31	55	9	9	6	6	11
WBSCR27	41	15	18	32	29	34	30	45
WBSCR28	0	2	0	0	0	0	0	0
ELN	518	6171	6471	233	711	102	1	5
LIMK1	2699	2298	2453	3185	1401	1912	2981	2831
EIF4H	4720	4400	4849	4922	2983	3950	4395	4511
