AST_E3	AST_E3	AST_E3	AST_E4	AST_E4	AST_E4
ZNF732	4	12	8	8	7	3
ZNF141	20	28	21	24	42	41
ABCA11P	27	34	31	16	29	28
ZNF721	126	196	163	131	190	202
PIGG	300	386	315	148	443	437
PDE6B	4	12	14	2	4	9
ATP5I	455	423	511	180	468	495
MYL5	24	16	13	4	17	17
MFSD7	6	1	3	0	2	1
PCGF3	342	396	367	153	420	359
LOC100129917	5	9	7	1	9	2
CPLX1	3	3	1	0	1	1
GAK	638	647	592	101	679	467
TMEM175	161	130	118	9	154	121
DGKQ	127	112	114	13	134	70
SLC26A1	1	6	1	0	3	3
IDUA	149	124	101	10	109	83
FGFRL1	1459	2351	1160	296	2220	1914
RNF212	9	11	1	1	10	7
TMED11P	0	0	0	0	0	0
SPON2	211	97	280	7	200	59
LOC100130872	5	0	8	0	0	0
CTBP1	1152	1171	1162	236	1064	909
CTBP1-AS1	79	99	95	32	94	101
MAEA	566	649	534	258	697	680
UVSSA	63	94	71	20	91	75
CRIPAK	33	97	71	25	76	64
FAM53A	11	11	8	3	10	6
SLBP	383	409	443	262	504	566
TMEM129	251	186	161	14	170	141
TACC3	329	511	603	140	322	305
FGFR3	21	19	36	1	36	17
LETM1	591	657	615	134	774	633
WHSC1	708	1164	1183	491	1038	1033
SCARNA22	0	1	0	0	0	0
NELFA	252	279	239	43	256	242
MIR943	0	0	0	0	0	0
C4orf48	107	92	120	6	77	48
NAT8L	8	7	9	2	10	6
POLN	8	7	7	6	6	8
HAUS3	84	92	85	92	118	136
MXD4	1222	1021	730	141	1081	831
MIR4800	0	0	0	0	0	0
ZFYVE28	57	98	37	9	72	39
LOC402160	0	1	0	0	0	0
RNF4	412	460	474	151	593	492
FAM193A	409	459	414	180	523	519
TNIP2	217	208	217	57	225	229
SH3BP2	421	541	393	122	567	514
ADD1	3040	3730	3152	1184	4369	4419
MFSD10	519	542	380	47	485	319
NOP14-AS1	69	64	58	42	77	78
NOP14	543	524	544	284	615	613
GRK4	19	18	15	4	13	20
HTT-AS1	0	0	0	0	0	0
HTT	707	1282	938	319	1260	1071
MSANTD1	0	1	0	0	0	0
RGS12	220	293	202	63	222	220
HGFAC	0	3	1	0	0	0
DOK7	0	0	0	0	0	0
LRPAP1	1146	1228	1051	238	1333	1197
FLJ35424	0	0	0	0	0	0
LOC100133461	0	0	0	0	0	0
ADRA2C	4	4	2	0	0	1
FAM86EP	15	26	15	3	17	15
OTOP1	0	0	0	0	0	0
TMEM128	73	84	82	35	103	93
LYAR	123	124	199	99	129	172
ZBTB49	16	32	25	11	32	39
NSG1	20	47	14	10	33	24
STX18	131	152	169	82	177	176
LOC100507266	10	11	5	7	7	8
MSX1	24	4	21	16	22	18
CYTL1	85	76	45	16	48	57
STK32B	98	76	46	43	92	47
C4orf6	0	0	0	0	0	0
EVC2	72	49	68	20	53	74
EVC	279	385	309	71	423	332
CRMP1	158	329	77	57	258	289
MIR378D1	0	0	0	0	0	0
JAKMIP1	0	0	0	0	0	0
LOC285484	0	0	0	0	0	0
WFS1	496	660	386	72	567	478
PPP2R2C	1	1	1	0	2	3
MAN2B2	746	694	646	254	887	865
MRFAP1	3028	3110	3158	1572	3567	3774
LOC93622	89	92	81	42	93	83
S100P	1	0	2	0	0	5
MRFAP1L1	403	408	391	248	532	575
BLOC1S4	83	92	108	19	98	101
KIAA0232	428	591	525	325	597	688
TBC1D14	537	645	538	172	738	679
LOC100129931	0	0	0	24	1	2
CCDC96	15	19	13	2	18	19
TADA2B	305	317	314	107	323	343
GRPEL1	172	176	212	89	202	214
FLJ36777	0	0	0	2	0	0
SORCS2	208	275	143	19	56	76
MIR4798	0	0	0	0	0	0
PSAPL1	2	1	0	0	0	0
MIR4274	0	0	0	0	0	0
AFAP1-AS1	1	2	1	15	1	0
AFAP1	1547	1525	2031	463	1489	1034
ABLIM2	1	4	11	1	3	2
SH3TC1	45	25	201	6	20	21
HTRA3	143	160	67	14	60	40
ACOX3	111	163	112	23	152	154
TRMT44	75	62	70	15	78	68
GPR78	0	0	0	0	0	0
CPZ	8	7	7	0	3	6
HMX1	0	0	0	0	0	0
LOC650293	0	0	0	0	0	0
USP17L10	0	0	0	0	0	0
USP17L11	0	0	0	0	0	0
USP17L20	0	0	0	0	0	0
USP17L18	0	0	0	0	0	0
USP17L12	0	0	0	0	0	0
USP17L21	0	0	0	0	0	0
USP17L13	0	0	0	0	0	0
USP17L15	0	0	0	0	0	0
USP17L17	0	0	0	0	0	0
USP17L19	0	0	0	0	0	0
USP17L22	0	0	0	0	0	0
USP17L25	0	0	0	0	0	0
USP17L30	0	0	0	0	0	0
USP17L5	0	0	0	0	0	0
USP17L24	0	0	0	0	0	0
USP17L26	0	0	0	0	0	0
USP17L29	0	0	0	0	0	0
USP17L27	0	0	0	0	0	0
USP17L28	0	0	0	0	0	0
USP17L9P	0	0	0	0	0	0
USP17L6P	0	0	0	0	0	0
DEFB131	0	0	0	0	0	0
MIR548I2	0	0	0	0	0	0
DRD5	0	0	0	0	0	0
SLC2A9	5	3	3	0	0	2
WDR1	7497	7636	7555	2395	9088	7327
MIR3138	0	0	0	0	0	0
ZNF518B	193	266	247	156	315	326
CLNK	0	0	0	0	0	0
MIR572	0	0	0	0	0	0
HS3ST1	1	6	6	2	10	15
RAB28	60	62	93	58	104	104
LOC285547	0	0	0	0	0	0
NKX3-2	0	0	0	0	0	0
LOC285548	0	0	0	0	0	0
BOD1L1	419	693	605	524	704	863
MIR5091	0	0	0	0	0	0
LOC152742	0	0	0	3	0	0
LOC441009	0	0	0	0	0	0
CPEB2	260	393	251	280	477	425
C1QTNF7	7	1	4	2	1	1
CC2D2A	416	351	411	185	501	525
FBXL5	927	973	991	558	1223	1313
FAM200B	136	155	155	117	194	256
BST1	4	1	0	2	3	3
CD38	0	0	0	0	0	0
FGFBP1	0	0	0	0	0	0
FGFBP2	0	0	0	0	0	0
PROM1	0	4	4	0	4	3
TAPT1	153	191	136	123	165	209
TAPT1-AS1	9	10	8	4	10	13
LDB2	48	23	34	29	110	81
MIR548AX	0	0	0	0	0	0
QDPR	261	277	220	117	313	281
CLRN2	0	0	0	0	0	0
LAP3	491	506	417	265	603	682
MED28	168	210	199	89	231	190
FAM184B	1	1	0	1	4	1
DCAF16	250	313	289	163	330	319
NCAPG	212	292	426	278	237	257
LCORL	71	105	81	82	76	100
SLIT2	130	247	741	189	445	376
SLIT2-IT1	0	0	2	0	0	1
MIR218-1	0	0	0	0	0	0
PACRGL	57	57	57	34	52	63
KCNIP4	5	22	0	2	1	2
KCNIP4-IT1	0	0	0	0	0	0
LOC100505912	0	0	0	0	0	0
GPR125	300	362	293	124	328	396
GBA3	0	0	0	0	2	2
MIR548AJ2	0	0	0	0	0	0
PPARGC1A	21	78	14	32	96	149
MIR573	0	0	0	0	0	0
DHX15	951	1201	1215	676	1396	1609
SOD3	21	6	5	0	11	5
CCDC149	131	142	109	57	175	173
LGI2	2	1	0	1	2	3
SEPSECS	75	73	64	42	78	104
LOC285540	1	1	1	0	0	2
PI4K2B	201	246	302	174	255	334
ZCCHC4	48	58	76	37	84	68
ANAPC4	127	142	139	90	148	176
SLC34A2	0	0	0	0	0	0
SEL1L3	167	94	91	67	128	192
C4orf52	144	158	132	101	132	189
RBPJ	1844	2267	1297	1429	3016	3479
CCKAR	4	8	1	1	0	4
TBC1D19	123	129	160	90	232	203
STIM2	185	216	230	177	263	296
MIR4275	0	0	0	0	0	0
PCDH7	812	2240	1459	1002	2076	2472
ARAP2	15	51	40	30	42	106
DTHD1	0	0	0	0	0	0
MIR4801	0	0	0	0	0	0
KIAA1239	0	0	0	0	0	0
C4orf19	0	1	0	0	1	0
RELL1	165	212	124	78	196	208
PGM2	222	287	266	140	298	335
TBC1D1	642	995	647	306	754	785
PTTG2	0	0	0	0	0	0
FLJ13197	4	4	3	4	5	5
KLF3	651	796	752	449	789	837
TLR10	2	0	1	0	1	0
TLR1	2	1	8	1	5	1
TLR6	43	34	43	14	49	27
FAM114A1	1472	1142	1624	848	1916	1801
MIR574	0	0	0	0	0	0
TMEM156	166	462	94	239	417	340
KLHL5	1340	2648	1352	1426	2796	2962
WDR19	128	171	221	110	207	268
RFC1	498	665	669	457	687	817
KLB	0	0	0	0	0	0
RPL9	290	294	286	81	246	323
LIAS	41	47	47	24	46	56
LOC401127	1	0	2	1	1	0
UGDH	1102	918	1661	1127	1591	1737
UGDH-AS1	14	13	12	2	16	14
SMIM14	195	226	265	131	264	350
UBE2K	713	851	850	526	948	1063
PDS5A	885	1297	1248	938	1492	1684
LOC344967	1	0	0	0	0	0
N4BP2	146	217	200	116	181	155
RHOH	10	19	0	0	0	0
CHRNA9	25	54	20	6	11	17
RBM47	21	73	14	18	31	45
MIR4802	0	0	0	0	0	0
NSUN7	24	32	16	7	22	26
APBB2	1160	1121	1884	434	1284	1045
UCHL1	1742	2476	1188	670	2557	2426
LIMCH1	213	564	71	242	440	739
PHOX2B	0	0	0	0	0	0
TMEM33	534	746	713	472	825	792
DCAF4L1	0	3	1	0	0	1
SLC30A9	566	716	602	503	874	966
BEND4	0	0	0	0	0	0
SHISA3	1	1	1	0	4	0
ATP8A1	11	35	10	8	18	35
GRXCR1	0	0	0	0	0	0
KCTD8	0	0	0	0	0	0
YIPF7	0	0	0	0	1	1
GUF1	224	282	283	209	336	277
GNPDA2	78	77	112	67	115	134
GABRG1	0	0	0	0	0	0
GABRA2	0	0	0	0	0	0
COX7B2	0	0	0	0	0	0
GABRA4	0	0	0	0	0	0
GABRB1	0	0	0	0	1	1
COMMD8	38	35	41	64	64	98
ATP10D	5	15	5	75	72	107
CORIN	12	13	80	10	58	45
NFXL1	78	131	99	67	156	158
CNGA1	0	2	1	0	0	1
NIPAL1	1	4	3	7	4	3
TXK	2	5	2	1	0	0
TEC	13	21	8	11	18	22
SLAIN2	460	601	573	370	730	735
SLC10A4	2	15	9	5	6	4
ZAR1	1	0	0	0	0	0
FRYL	408	720	588	354	727	723
OCIAD1	861	967	985	629	982	1198
OCIAD2	354	388	358	140	396	504
CWH43	0	0	0	0	0	0
DCUN1D4	276	340	341	281	349	419
LRRC66	6	7	6	5	10	7
SGCB	1265	1573	1345	1074	1872	2001
SPATA18	201	150	107	61	184	160
USP46	325	437	274	179	357	394
DANCR	193	230	169	68	198	188
MIR4449	0	0	0	0	0	0
SNORA26	0	1	1	1	0	0
ERVMER34-1	1	4	1	1	2	1
LOC152578	0	0	0	0	0	0
RASL11B	38	74	13	1	6	6
SCFD2	177	226	238	93	231	221
FIP1L1	327	311	356	222	402	451
LNX1	20	27	42	23	28	25
LNX1-AS1	0	0	0	0	0	0
LNX1-AS2	0	1	1	0	0	0
RPL21P44	0	1	0	2	0	0
CHIC2	106	105	124	64	126	116
GSX2	1	0	0	0	0	0
PDGFRA	72	60	392	122	315	256
KIT	8	8	10	1	13	2
KDR	723	1697	252	282	1379	1050
SRD5A3	268	242	228	114	325	339
SRD5A3-AS1	1	2	2	0	0	1
TMEM165	584	537	586	310	660	737
CLOCK	274	503	457	302	602	662
PDCL2	0	0	0	0	0	0
NMU	0	3	1	0	3	0
LOC644145	0	0	0	0	0	0
EXOC1	429	461	423	266	483	572
CEP135	60	88	93	102	115	119
KIAA1211	121	217	145	44	129	106
AASDH	58	85	73	51	85	104
PPAT	139	201	149	103	182	181
PAICS	1063	1449	1248	803	1629	1564
SRP72	1043	1337	1282	871	1549	1578
ARL9	7	18	6	1	10	9
THEGL	1	3	2	2	2	4
HOPX	272	431	98	168	592	361
SPINK2	1	2	0	0	4	1
REST	640	830	706	593	969	1104
NOA1	203	239	182	100	263	253
POLR2B	957	1150	1061	818	1316	1614
IGFBP7	5686	3205	4021	1155	4591	3020
LOC255130	11	5	4	18	11	10
LPHN3	23	39	10	6	9	12
TECRL	0	0	0	0	0	0
LOC401134	0	0	0	0	0	0
EPHA5	120	89	59	40	128	134
LOC100144602	5	7	3	2	7	11
CENPC1	54	87	97	70	80	96
STAP1	0	0	0	0	0	0
UBA6	395	621	474	444	616	708
LOC550112	47	78	44	8	51	55
GNRHR	0	0	0	0	0	0
TMPRSS11D	0	0	0	0	0	0
TMPRSS11A	0	0	0	0	0	0
TMPRSS11GP	0	0	0	0	0	0
TMPRSS11F	0	0	0	0	0	0
LOC550113	0	0	0	0	0	0
SYT14L	0	0	0	0	0	0
FTLP10	0	0	0	0	0	0
TMPRSS11BNL	0	0	0	0	0	0
TMPRSS11B	0	0	0	0	0	0
YTHDC1	432	511	408	300	501	628
TMPRSS11E	0	0	0	0	0	0
UGT2B17	0	0	0	0	0	0
UGT2B15	0	0	0	0	0	0
UGT2B10	0	0	0	0	0	0
UGT2A3	0	0	0	0	0	0
UGT2B7	0	0	0	0	0	0
UGT2B11	0	0	0	0	0	0
UGT2B28	0	0	0	0	0	0
UGT2B4	0	0	0	0	0	0
UGT2A2	0	0	0	0	0	0
UGT2A1	0	0	0	0	0	0
SULT1B1	5	19	14	86	145	157
SULT1E1	254	388	471	824	1820	2649
CSN1S1	0	0	0	0	0	0
CSN2	0	0	0	0	0	0
STATH	0	0	0	0	0	0
HTN3	0	0	0	0	0	0
HTN1	0	0	0	0	0	0
CSN1S2AP	0	0	0	0	0	0
CSN1S2BP	0	0	0	0	0	0
C4orf40	0	0	0	0	0	0
ODAM	0	0	0	0	0	0
FDCSP	0	0	0	0	0	0
CSN3	0	0	0	0	0	0
CABS1	0	0	0	0	0	0
SMR3A	0	0	0	0	0	0
SMR3B	0	0	0	0	0	0
PROL1	0	0	0	0	0	0
MUC7	0	0	0	0	0	0
AMTN	0	0	0	0	0	2
AMBN	0	0	0	0	0	0
ENAM	0	0	0	0	0	0
IGJ	0	0	1	0	0	0
UTP3	362	348	386	283	467	495
RUFY3	309	366	316	190	392	371
GRSF1	944	1013	936	568	1106	1187
MOB1B	366	604	427	479	599	698
DCK	166	215	255	229	274	265
SLC4A4	17	37	21	31	212	140
GC	0	0	0	0	0	0
NPFFR2	7	2	1	1	4	3
ADAMTS3	131	397	192	121	317	293
COX18	151	156	143	73	154	173
ANKRD17	1264	2009	1518	807	2102	2020
ALB	0	1	1	0	0	1
AFP	2	0	3	1	0	1
AFM	0	0	0	0	0	0
LOC728040	0	0	0	0	0	0
RASSF6	4	2	1	0	1	5
IL8	56	49	75	108	132	196
CXCL6	17	8	6	2	16	15
PF4V1	1	0	0	0	1	0
CXCL1	20	27	22	29	91	101
PF4	1	0	0	0	0	1
PPBP	0	0	0	0	0	0
CXCL5	15	12	7	4	12	13
CXCL3	3	3	2	5	7	15
PPBPP2	0	0	0	0	0	0
CXCL2	7	0	5	5	8	27
MTHFD2L	6	12	16	22	15	22
EPGN	10	0	0	6	4	0
EREG	129	351	144	362	723	650
AREG	3	3	1	0	5	1
BTC	5	9	3	1	7	2
PARM1	105	36	76	6	47	50
LOC441025	0	0	0	0	0	0
RCHY1	125	191	144	88	163	202
THAP6	81	100	90	87	139	140
C4orf26	0	0	1	0	0	0
CDKL2	23	26	14	15	23	30
G3BP2	1564	1929	1667	1099	2105	2204
USO1	1020	1019	1176	956	1353	1535
PPEF2	0	0	0	0	0	0
NAAA	96	78	121	37	123	139
SDAD1	322	376	393	308	428	491
CXCL9	0	0	0	0	0	0
ART3	1	0	0	0	1	1
CXCL10	0	0	0	0	0	1
CXCL11	0	0	0	0	0	0
NUP54	216	246	301	220	297	393
SCARB2	2907	3387	3184	1839	3822	4286
FAM47E	0	1	1	0	4	1
FAM47E-STBD1	0	0	0	0	0	0
STBD1	10	4	6	0	2	1
CCDC158	0	0	0	0	0	0
SHROOM3	218	372	229	83	324	269
MIR4450	0	0	0	0	0	0
SOWAHB	1	5	0	0	2	3
SEPT11	5325	4964	4358	2334	5367	4048
CCNI	1702	1939	1726	698	2502	2553
CCNG2	323	373	284	169	336	398
CXCL13	2	14	13	0	2	2
CNOT6L	160	254	220	165	241	306
MRPL1	206	149	161	141	162	223
FRAS1	216	618	213	81	336	277
ANXA3	176	230	74	83	209	177
LOC100505702	8	0	3	0	4	3
BMP2K	68	97	88	40	108	100
PAQR3	201	363	229	152	287	328
LOC100505875	2	2	6	3	15	13
NAA11	0	0	0	0	0	0
GK2	0	0	0	0	0	0
LOC100506035	0	0	0	0	0	0
GDEP	0	0	0	0	0	0
ANTXR2	1155	1158	1648	528	1393	1213
PRDM8	110	120	84	26	80	52
FGF5	104	93	183	53	135	77
C4orf22	0	0	0	0	0	0
BMP3	10	66	0	1	0	3
PRKG2	3	6	3	4	6	6
RASGEF1B	6	5	6	2	6	6
HNRNPD	1143	1227	1306	980	1324	1657
HNRPDL	1000	1105	1228	888	1214	1468
ENOPH1	247	319	292	175	337	306
TMEM150C	21	68	36	8	43	53
LINC00575	0	0	0	0	0	0
SCD5	298	357	307	123	418	347
MIR575	0	0	0	0	0	0
SEC31A	3794	3859	4116	1681	5107	4517
THAP9-AS1	84	111	99	86	118	135
THAP9	22	27	25	26	32	35
LIN54	150	190	217	126	203	252
COPS4	384	414	477	232	398	458
PLAC8	0	3	0	0	5	2
COQ2	127	146	178	68	154	201
HPSE	11	19	10	5	24	22
HELQ	70	94	84	46	85	109
MRPS18C	108	115	109	76	97	104
FAM175A	124	137	127	111	134	172
AGPAT9	15	45	28	13	30	40
NKX6-1	1	0	0	0	7	8
CDS1	5	12	4	8	12	21
WDFY3	591	1009	929	470	1194	1140
WDFY3-AS2	14	12	14	8	17	29
ARHGAP24	196	74	95	76	167	212
MIR4451	0	0	0	0	0	0
MAPK10	7	7	8	6	18	12
PTPN13	634	998	637	684	1070	1106
SLC10A6	0	0	0	1	0	0
C4orf36	4	3	3	2	3	2
LOC100506746	4	7	5	0	3	4
AFF1	338	524	322	194	467	496
KLHL8	129	158	127	101	169	217
MIR5705	0	0	0	0	0	0
HSD17B13	0	1	0	2	0	1
HSD17B11	134	127	174	48	168	200
NUDT9	227	185	249	151	283	325
SPARCL1	112	21	193	14	15	403
DSPP	0	0	0	0	0	0
DMP1	1	0	0	0	0	0
IBSP	11	40	1	0	0	2
MEPE	0	0	0	0	0	0
SPP1	2497	3782	1019	593	2396	5693
PKD2	556	828	751	417	1115	1102
ABCG2	2	3	1	6	2	2
PPM1K	141	172	137	74	122	131
HERC6	58	95	55	23	83	84
HERC5	5	5	2	0	3	7
PIGY	0	0	0	0	0	0
PYURF	0	0	0	0	0	0
HERC3	155	117	198	101	198	180
NAP1L5	60	67	53	38	61	62
FAM13A-AS1	1	2	3	10	1	3
FAM13A	185	198	251	109	216	317
TIGD2	25	47	41	16	42	48
GPRIN3	15	26	26	7	40	40
SNCA	75	127	110	11	73	40
LOC644248	0	0	0	0	0	0
MMRN1	0	0	0	0	1	0
CCSER1	2	7	1	4	10	6
GRID2	4	4	2	1	1	1
ATOH1	0	0	0	0	0	0
SMARCAD1	360	520	443	394	551	633
HPGDS	0	0	0	0	0	0
PDLIM5	1425	1859	1781	1093	2614	2619
BMPR1B	59	95	62	80	118	181
UNC5C	76	339	127	65	191	151
PDHA2	0	0	0	0	0	0
STPG2	0	1	1	0	0	2
RAP1GDS1	643	717	729	435	828	969
TSPAN5	1020	1140	1445	470	1552	1396
EIF4E	148	142	191	153	201	211
METAP1	441	482	532	241	546	587
MIR3684	0	0	0	0	0	0
ADH5	1285	1161	1436	599	1314	1408
LOC100507053	21	15	38	14	25	26
ADH4	1	1	0	0	0	0
PCNAP1	0	0	0	0	0	0
ADH6	0	0	2	2	0	0
ADH1A	0	0	0	1	0	0
ADH1B	78	3	189	12	20	127
ADH1C	4	1	5	1	3	3
ADH7	0	0	0	0	0	0
C4orf17	0	0	0	0	0	0
TRMT10A	36	37	62	35	50	51
MTTP	1	0	1	0	0	1
DAPP1	0	0	0	0	0	0
LAMTOR3	263	324	272	222	373	450
DNAJB14	144	174	186	141	222	275
H2AFZ	876	1062	1145	335	683	648
LOC256880	0	0	1	0	0	0
DDIT4L	19	26	25	6	25	26
EMCN	88	37	137	241	223	393
EMCN-IT3	0	0	0	0	0	0
PPP3CA	897	1281	984	559	1094	1374
FLJ20021	39	29	23	3	22	20
BANK1	7	9	1	4	5	4
SLC39A8	82	106	81	40	72	78
NFKB1	308	329	398	135	458	547
MANBA	414	434	384	203	494	650
UBE2D3	1460	1666	1758	949	1891	1999
CISD2	194	226	212	104	200	185
SLC9B1	1	3	3	21	1	2
SLC9B2	106	106	157	65	180	152
BDH2	130	148	171	92	176	212
CENPE	131	293	406	380	209	257
TACR3	1	0	0	0	0	0
CXXC4	13	27	7	8	9	11
TET2	203	384	264	150	370	356
PPA2	243	309	250	148	300	356
ARHGEF38	0	0	0	0	0	0
ARHGEF38-IT1	0	0	0	0	0	0
INTS12	148	136	148	85	151	184
GSTCD	140	159	169	89	178	174
NPNT	8	14	7	7	34	53
TBCK	200	224	236	140	304	332
AIMP1	317	335	316	245	384	487
GIMD1	0	0	0	0	0	0
DKK2	126	121	63	125	280	161
PAPSS1	981	1024	1047	564	1312	1362
SGMS2	603	270	670	717	931	904
CYP2U1	165	187	158	93	214	220
HADH	256	276	309	88	281	313
LEF1	7	15	9	2	10	8
LEF1-AS1	0	0	0	0	0	0
RPL34-AS1	0	0	0	0	1	0
RPL34	1244	1267	1448	1217	1908	2009
OSTC	1284	1013	1137	475	1050	1146
AGXT2L1	0	2	0	0	0	0
COL25A1	16	13	11	1	9	11
SEC24B-AS1	1	4	2	1	4	3
SEC24B	503	665	636	325	797	804
CCDC109B	202	224	247	124	215	263
CASP6	181	232	117	74	143	173
PLA2G12A	175	285	196	160	277	333
CFI	237	831	282	102	156	357
GAR1	189	139	173	146	173	184
RRH	2	0	1	0	0	0
LRIT3	0	1	1	0	0	0
EGF	8	19	7	3	13	16
ELOVL6	295	478	404	239	441	448
ENPEP	8	14	3	0	7	6
PITX2	1	1	8	2	0	4
C4orf32	64	65	65	25	53	76
AP1AR	104	144	134	102	106	154
TIFA	42	39	51	24	39	67
ALPK1	48	59	58	20	71	46
NEUROG2	0	0	0	0	0	0
C4orf21	13	37	45	27	26	30
LARP7	243	264	289	240	319	423
MIR367	0	0	0	0	0	0
MIR302D	0	0	0	0	0	0
MIR302A	0	0	0	1	0	0
MIR302C	0	0	0	0	0	0
MIR302B	0	0	0	0	0	0
ANK2	277	376	328	70	287	247
MIR1243	0	0	0	0	0	0
CAMK2D	1177	1716	1537	922	1929	1967
ARSJ	574	752	812	440	1175	981
UGT8	2	15	13	0	3	20
MIR577	0	0	0	0	0	0
NDST4	1	4	10	2	9	13
MIR1973	0	0	0	0	0	0
TRAM1L1	33	52	32	21	53	48
NDST3	23	50	28	16	25	21
SNHG8	175	173	160	92	173	218
SNORA24	2	2	4	2	1	6
PRSS12	66	56	40	120	243	121
CEP170P1	1	2	3	1	1	0
METTL14	125	182	174	110	221	199
SEC24D	1673	1866	1909	927	2712	2440
SYNPO2	114	309	174	161	269	314
MYOZ2	1	0	1	0	1	1
USP53	246	427	192	208	282	318
C4orf3	745	745	857	507	986	1094
FABP2	0	0	0	0	0	0
FLJ14186	7	8	7	1	13	5
LOC645513	5	18	12	10	17	16
PDE5A	58	113	80	80	130	148
MAD2L1	73	159	183	84	127	121
PRDM5	18	31	30	17	36	49
NDNF	4	4	0	1	5	3
TNIP3	2	2	1	1	1	0
QRFPR	0	0	3	0	0	0
ANXA5	6158	6017	6626	3971	9586	10291
TMEM155	0	1	0	0	0	1
PP12613	0	0	0	0	0	0
EXOSC9	174	177	226	167	193	210
CCNA2	288	448	611	348	302	324
BBS7	201	201	214	161	255	306
TRPC3	2	0	1	2	1	1
KIAA1109	520	1064	903	584	1108	1226
ADAD1	0	0	0	0	0	0
IL2	0	0	0	0	0	0
IL21	0	0	0	0	0	0
CETN4P	0	0	1	0	1	0
BBS12	57	48	75	40	77	68
FGF2	193	213	436	569	692	687
NUDT6	25	26	32	84	23	43
SPATA5	80	102	110	62	123	125
SPRY1	461	277	477	133	409	499
LOC285419	6	1	5	1	2	0
ANKRD50	620	719	942	644	973	1066
FAT4	619	720	548	427	1091	992
MIR2054	0	0	0	0	0	0
INTU	28	45	25	21	33	32
SLC25A31	0	0	0	0	0	0
HSPA4L	114	185	131	78	159	224
PLK4	54	112	134	80	75	96
MFSD8	82	130	113	63	145	154
C4orf29	21	49	38	30	36	54
LARP1B	114	143	157	105	153	244
PGRMC2	730	713	587	558	890	994
PHF17	440	392	504	295	622	622
SCLT1	94	99	134	96	98	115
C4orf33	20	21	28	21	35	34
PCDH10	123	86	72	74	397	115
PABPC4L	22	31	26	39	73	67
PCDH18	1272	308	2828	1353	2017	2378
LINC00616	0	0	0	0	0	0
SLC7A11-AS1	0	0	1	3	0	0
SLC7A11	491	788	261	230	442	536
LINC00499	0	0	0	0	0	0
CCRN4L	72	71	63	21	90	69
ELF2	201	167	235	100	220	289
MGARP	4	11	0	9	10	7
NDUFC1	182	150	232	65	271	260
NAA15	605	892	856	667	962	1043
RAB33B	149	170	167	121	155	194
SETD7	925	1264	1084	584	1478	1398
MGST2	162	145	192	60	175	193
MAML3	125	146	123	40	161	136
SCOC	401	453	451	322	480	573
LOC100129858	1	1	1	1	0	1
CLGN	48	81	32	59	107	179
ELMOD2	242	313	281	176	295	311
UCP1	1	2	0	0	0	0
TBC1D9	489	661	464	235	576	561
TNRC18P1	0	0	0	0	0	0
RNF150	156	170	212	96	262	208
ZNF330	154	169	168	79	144	202
IL15	3	2	1	1	4	4
INPP4B	57	99	40	57	91	70
USP38	306	342	313	240	482	464
GAB1	127	190	129	87	157	143
SMARCA5	1322	1585	1612	1220	1664	2198
GUSBP5	3	5	4	1	5	5
FREM3	0	0	0	0	1	0
GYPE	0	0	0	0	0	0
GYPB	0	0	0	0	0	0
GYPA	0	0	0	0	0	0
HHIP-AS1	84	114	77	49	130	141
HHIP	521	854	994	509	1233	1071
ANAPC10	43	51	63	64	77	85
ABCE1	763	870	1260	743	1037	1158
OTUD4	304	437	451	245	514	523
SMAD1	258	290	434	102	232	297
MMAA	81	94	87	60	122	97
C4orf51	0	0	0	0	0	0
ZNF827	181	364	185	59	270	211
LOC100505545	0	0	0	0	0	0
LSM6	70	62	64	40	55	79
SLC10A7	76	52	97	50	86	87
POU4F2	0	0	1	0	0	0
TTC29	0	0	1	0	0	0
EDNRA	1119	589	2981	548	1074	914
TMEM184C	395	446	403	238	557	550
PRMT10	87	114	124	49	117	130
ARHGAP10	472	392	510	197	511	564
MIR4799	0	0	0	0	0	0
NR3C2	9	9	2	3	13	16
DCLK2	28	37	40	8	16	22
LRBA	567	1114	781	531	1213	1397
MAB21L2	42	15	53	159	307	372
RPS3A	87	90	68	42	67	78
SNORD73A	0	0	0	0	0	0
SH3D19	888	676	878	453	1190	1174
PRSS48	0	0	0	0	0	0
FAM160A1	27	42	25	11	65	92
PET112	147	139	166	47	183	184
FBXW7	176	217	162	84	176	233
MIR3140	0	0	0	0	0	0
DKFZP434I0714	13	16	19	11	24	24
MIR4453	0	0	0	0	0	0
TMEM154	53	56	104	35	67	88
TIGD4	1	1	4	0	0	2
ARFIP1	389	385	441	249	445	467
FHDC1	37	54	61	12	40	27
TRIM2	216	495	299	168	396	469
ANXA2P1	1	0	1	2	4	5
MND1	16	28	27	12	19	16
KIAA0922	100	166	131	70	137	142
TLR2	11	9	5	8	14	21
RNF175	5	4	3	4	8	7
SFRP2	2819	20	74	234	1318	223
DCHS2	0	0	0	0	1	0
PLRG1	526	529	543	342	612	681
FGB	0	0	0	0	0	0
FGA	0	0	0	0	0	0
FGG	0	0	0	0	0	0
LRAT	0	0	0	1	0	0
RBM46	0	0	0	0	0	0
NPY2R	2	7	0	0	0	2
MAP9	161	234	237	247	331	380
GUCY1A3	3	7	4	3	2	5
GUCY1B3	48	17	27	6	39	27
ASIC5	0	0	0	0	0	0
TDO2	2	2	0	1	1	8
